Restaurant,Description,Hours,Phone,type-of-ordering,button-url,menu-url,gift-card-url,employee-fund,Tags,food-type,operating-status,Email,Created,Last-Updated,Task Table,Update Tasks
Annie’s Thai Kitchen,Open for curbside takeout. ,11:30 a.m. - 9:00 p.m. ,(307) 203-2442,Order By Phone,,https://www.zmenu.com/annies-thai-kitchen-jackson-online-menu/,,,,"Asian,Thai",Open,danny@gmail.com,3/19/2020 10:15pm,3/25/2020 11:47pm,1,
Atelier Ortega,Working on online ordering and available for takeout.,,(307) 734-6400,Order By Phone,tel:(307) 734-6400,,,,,,Open,,3/19/2020 10:36pm,3/23/2020 8:30pm,2,
Bapp,Orders that are placed by calling.,Open Monday-Friday from 11 a.m.-8:30 p.m. and Saturday from 4-8:30 p.m.,(307) 201-1818,Order By Phone,tel:(307) 201-1818,https://zmenu.com/bapp-jackson-online-menu/,,,,"Asian,Thai",Open,,3/19/2020 10:36pm,3/23/2020 8:30pm,3,
Big Hole BBQ,Place a takeout orders by phone.,11:30 a.m. and 8 p.m.,(307) 264-1996,Order By Phone,tel:(307) 264-1996,https://www.jacksonholebbq.com/menu,,,,BBQ,Open,,3/19/2020 10:37pm,3/23/2020 8:30pm,4,
Bin22,"Bottle shop/specialty grocer is open, offering curbside pick up and home delivery",,,Online Menu,https://bin-22-wine.myshopify.com/,,https://bin-22-wine.myshopify.com/products/gift-certificate,https://www.gofundme.com/f/fine-dining-employee-fund,"Delivery,Curbside",Booze,Open,,3/23/2020 8:23pm,3/23/2020 8:31pm,,
Bubba’s Bar-B-Que,Bubba's will be offering to-go orders only at this time. We will be open from 7AM - 8PM daily. Please call your to-go order in and let us know when you arrive. We will bring it out to you! We encourage people to leave a 20% tip for our staff during this time as many of them are out of work.,7 a.m.-8 p.m. daily,(307) 733-2288,Order By Phone,tel:(307) 733-2288,https://bubbasjh.com/,https://bluecollarjh.ackroo.net/en/gifts/new,,,BBQ,Open,,3/20/2020 3:17pm,3/23/2020 8:30pm,5,
Cafe Genevieve,Special family-style dinners will be added to the menu daily until sold out.,10:00 a.m. - 6:00 p.m.,(307) 732-1910,Order By Phone,tel:(307) 732-1910,https://genevievejh.com/,,,"Family Meals,Dinner,Lunch",,Open,,3/21/2020 9:06pm,3/23/2020 8:30pm,6,
Calico,Call for takeout. ,5:00 - 9:00 p.m.,(307) 200-9631,Order By Phone,tel:307-200-9631,http://www.calicorestaurant.com/menu,,,Dinner,Pizza,Open,,3/21/2020 9:07pm,3/23/2020 8:30pm,7,
Cowboy Coffee,Order online for takeout or delivery.,8AM - 3PM.  || We are closed on Sunday.,(307) 733-7392,Online Menu,https://us.orderspoon.com/cowboycoffee?fbclid=IwAR0-O6U-NMAeKquC8wMB92M-JVN5wdr2vQSz9SwJlGb-ErcHcccWVrxNXvw,,,,"Breakfast,Lunch",Burrito ,Open,,3/19/2020 9:52pm,3/23/2020 8:30pm,8,
Cultivate Cafe,Call ahead to order and when you arrive for pick up,9:00 a.m. - 3:00 p.m.,(307) 200-9631,Online Menu,https://orderonlinecultivate-cafe.square.site/,,,,,,Open,,3/21/2020 9:07pm,3/23/2020 8:30pm,9,
Cutty’s,Order to-go food with a credit card,11:30 a.m. - 8:00 p.m.,(307) 201-1079,Online Menu,https://direct.chownow.com/order/13069/locations/18300,,,,,"Pizza,American,Burgers",Open,,3/21/2020 9:09pm,3/23/2020 8:30pm,10,
Dornans,Enjoy to-go pizza and salads.,11:30 a.m.-3 p.m.,(307) 733-2415,Order By Phone,tel:307-733-2415,https://dornans.com/BIM/BIM.php?p=33,,,,,Open,,3/23/2020 8:19pm,3/23/2020 8:30pm,,
Everest Momo Shack,Takeout orders are available.,4:00 - 8:00 p.m. ||  Tuesday-Saturday,(307) 201-1674,Order By Phone,tel:(307) 201-1674,https://everestmomoshack.com/,,,,Indian,Open,,3/21/2020 9:12pm,3/23/2020 8:30pm,11,
Hand Fire Pizza,Curbside pickup or delivery. ,5:00 - 9:00 p.m.,(307) 733-7199,Online Menu,https://ordering.orders2.me/menu/handfirepizza,,,,Delivery,,Open,,3/22/2020 6:01pm,3/23/2020 8:30pm,12,
Figs,Lunch and dinner menus are available for curbside take out.,,(307) 733-2200,Order By Phone,tel:+1 (307) 733-2200,https://www.hoteljackson.com/eat-drink/figs,,,,,Open,,3/23/2020 8:20pm,3/23/2020 8:30pm,,
Hatch,"Please note that the takeout menu is slightly reduced. Breakfast and lunch items are available from 11 a.m.-4 p.m., with dinner available from 4-8:30 p.m.",11 a.m. - 8:30 p.m. ,(307) 203-2780,Online Menu,https://direct.chownow.com/order/17777/locations/25465,,,,,"Mexican,tacos",Open,,3/21/2020 9:14pm,3/23/2020 8:30pm,13,
Il Villaggio Osteria,Place a to-go order,,(307) 739-4100,Order By Phone,tel:(307) 739-4100,https://jhosteria.com/,https://bin-22-wine.myshopify.com/products/gift-certificate,https://www.gofundme.com/f/fine-dining-employee-fund,,"Italian,Pizza",Closed,,3/21/2020 9:18pm,3/23/2020 8:31pm,14,
King Sushi,"King Sushi will be open for takeout only for the coming weeks starting tonight at 5pm. Please call your order in ahead of time.

We will be accepting payment over the phone and curbside pickup to minimize contact and protect our employees and customers. Our menu is available online at kingsushijh.com - we will include a 20% gratuity on all orders.
.",4:30-9:30 || Tuesday - Sunday,(307) 264-1630,Order By Phone,tel:(307) 264-1630,http://kingsushijh.com/menu,,,,Sushi,Open,,3/21/2020 9:19pm,3/23/2020 8:31pm,15,
Liberty Burger,Pickup orders are available,11:30 a.m.-8 p.m.,(307) 200-6071,Order By Phone,tel:(307) 200-6071,,,,,Burgers,Open,,3/21/2020 9:19pm,3/23/2020 8:31pm,16,
Little Red Cafe,"Four entrees for $44 or eight for $80, with four-serving sides that are just $8. Call and ask for food delivery.",,(307) 413-4311,Order By Phone,tel:(307) 413-4311,,,,"Family Meals,Delivery",,Open,,3/21/2020 9:20pm,3/23/2020 8:35pm,17,
Merry Piglets,Pickup orders are available.,11:30 a.m.-8 p.m.,(307) 733-2966,Order By Phone,tel:(307) 733-2966,https://merrypiglets.com/merry-piglets-menu/,,,,Mexican,Open,,3/21/2020 9:22pm,3/23/2020 8:35pm,18,
Miazga’s,For “leave at your door” delivery., 11:30 a.m. – 9:00 p.m. || Monday - Saturday,(307) 733-2784,Order By Phone,tel:(307) 733-2784,,,,Delivery,Sandwiches,Open,,3/21/2020 9:23pm,3/23/2020 8:36pm,19,
Moe’s,Family meals to go.,12:00 - 9:00 p.m.,(307) 733-6637,Order By Phone,tel:(307) 733-6637,https://www.moesoriginalbbq.com/lo/jackson#jackson-menu-section,,,Family Meals,BBQ,Open,,3/21/2020 9:24pm,3/23/2020 8:36pm,20,
Noodle Kitchen,"Noodle Kitchen will be offering to-go orders only at this time. We will be open from 5:00-8:00PM daily. 

Please call your to-go order in and let us know when you arrive. We will bring it out to you! We encourage people to leave a 20% tip for our staff during this time as many of them are out of work.",5:00 - 8:00 p.m.,(307) 733-6637,Order By Phone,tel:(307) 733-6637,,https://bluecollarjh.ackroo.net/en/gifts/new,,,"Asian,Sushi",Open,,3/21/2020 9:25pm,3/23/2020 8:36pm,21,
Pearl Street Bagels,Takeout is available,7:00 a.m.- 3:00 p.m.,(307) 739-1218,Order By Phone,tel:(307) 739-1218,http://pearlstreetbagels.com/#pg-food,,,"Breakfast,Lunch",,Open,,3/21/2020 9:26pm,3/23/2020 8:31pm,22,
Persephone,"Curbside pickup is available. Delivery is available within city limits with a $5 delivery fee.
",7:00 a.m.- 3:00 p.m.,(307) 200-6708,Online Menu,https://direct.chownow.com/order/8835/locations/11975,,,,,,Open,,3/21/2020 9:27pm,3/23/2020 8:31pm,23,
Picas,Offering bulk orders and takeout.,11:00 a.m.  - 9:00 p.m.,(307) 734-4457,Online Menu,https://app.upserve.com/s/picas-mexican-taqueria-jackson-jackson,https://www.picastaqueria.com/menus/,,,,,Open,,3/21/2020 9:35pm,3/23/2020 8:31pm,24,
Pinky G's,Pinky G's is extending delivery hours for in-town delivery Take-out also avalaible. ,12:00 - 10:00 p.m,(307) 734-7465,Online Menu,https://pinkygs.hungerrush.com/,,,,Delivery,Pizza,Open,,3/22/2020 6:35pm,3/23/2020 8:31pm,25,
Pizzeria Caldera,"Call in an order for curbside pickup or home delivery for $5 in town and $10 further out, especially on two-for-one Tuesdays. 

Frozen par-baked pizzas are also an option–take them home frozen, and then bake them fresh!",12:00 p.m. - 8:30pm. ,(307) 201-1472,Online Menu,https://direct.chownow.com/order/2229/locations/2916,,,,Delivery,,Open,,3/22/2020 6:33pm,3/23/2020 8:31pm,26,
